query_type,query,recognised_keyword_features,rank,title,organisation,description_preview,dataset_url,semantic_score,semantic_ratio_to_best,keyword_score,keyword_ratio_to_best,hybrid_score,passes_strict_rule,passes_balanced_rule,passes_permissive_rule
narrow,ambulance off stretcher times,7,20,"Department of Health, NSW Ambulance Service - Code Red: Hospital Emergency Departments",NSW Government,Performance Audit Report,https://data.nsw.gov.au/data/dataset/3-18021-department-of-health--nsw-ambulance-service---code-red--hospital-emergency-departments,0.29093578457832336,0.504655907908504,0.030483124777674675,0.047518065310840185,0.011594202898550725,False,True,True
narrow,ambulance off stretcher times,7,30,Crash performance of emergency locking retractor seat belts : TARU 5/76,NSW Government,The crash performance of emergency locking retractor (inertia reel) seat belts is examined by in-depth field investigations and by laboratory simulations. It is found that the inclusion of the retractor increases body excursions for the…,https://data.nsw.gov.au/data/dataset/3-17545-crash-performance-of-emergency-locking-retractor-seat-belts---taru-5-76,0.30456793308258057,0.5283021716025028,0.0,0.0,0.008749999999999999,True,True,True
narrow,ambulance off stretcher times,7,40,Hospital Quarterly: Performance of NSW public hospitals - April to June 2014,Bureau of Health Information,Hospital Quarterly is a series of regular reports that track services provided in NSW public hospitals and the timeliness with which they are delivered. The report is structured around two types of measures: activity measures and…,https://data.nsw.gov.au/data/dataset/hospital-quarterly-performance-of-nsw-public-hospitals-april-to-june-2014,0.27461743354797363,0.47635016935273755,0.0,0.0,0.007692307692307692,False,True,True
narrow,ambulance off stretcher times,7,50,NSW Sporting Injuries Committee Annual Report 09/10,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-10810-nsw-sporting-injuries-committee-annual-report-09-10,0.2562640905380249,0.44451454283032055,0.0,0.0,0.006862745098039216,False,True,True
narrow,ambulance off stretcher times,7,75,NSW - Levee Study for Emergency Management - Report,NSW State Emergency Service,Complete,https://data.nsw.gov.au/data/dataset/fdp-nsw-levee-study-for-emergency-management-report,0.230952650308609,0.4006094320583285,0.0,0.0,0.0053435114503816794,False,False,True
narrow,ambulance off stretcher times,7,100,13 December 2016 - Switch off before you take off,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-16207-13-december-2016---switch-off-before-you-take-off,0.1590701937675476,0.2759224451309537,0.036370694637298584,0.056695796634390026,0.00467026476948518,False,False,False
narrow,ambulance off stretcher times,7,150,Greater Southern Area Health Service Annual Report 2006-2007,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-9682-greater-southern-area-health-service-annual-report-2006-2007,0.21229690313339233,0.3682492566262619,0.0,0.0,0.0037634408602150535,False,False,True
narrow,ambulance off stretcher times,7,200,Average wait time for households in urgent need,Department of Communities and Justice,"Households on the NSW Housing Register include both priority applicants waiting to be housed and existing tenants in social housing waiting urgently to be rehoused, as their current house does not meet their needs. Priority applicants are…",https://data.nsw.gov.au/data/dataset/average-wait-time-for-households-in-urgent-need,0.20509777963161469,0.3557616892677097,0.0,0.0,0.0030701754385964912,False,False,True
narrow,ambulance off stretcher times,7,300,Lower Bellinger and Kalang Floodplain Risk Management Study and Plan - Data Handover List,Bellingen Shire Council,-,https://data.nsw.gov.au/data/dataset/fdp-related-dataset_revision_lower-bellinger-and-kalang-data-handover-list,0.19071459770202637,0.3308126863603843,0.0,0.0,0.0023102310231023103,False,False,False
narrow,ambulance off stretcher times,7,500,Bendemeer Flood Study - Hydraulic Model Output (Options),Tamworth Regional Council,XP-SWMM,https://data.nsw.gov.au/data/dataset/fdp-bendemeer-flood-study-hydraulic-model-output-options,0.1745886504650116,0.30284069056215185,0.0,0.0,0.0015384615384615385,False,False,False
narrow,ambulance off stretcher times,7,750,Bligh Park - Evacuation Route Options Study - Report,Hawkesbury City Council,Complete,https://data.nsw.gov.au/data/dataset/fdp-bligh-park-evacuation-route-options-study-report,0.16059039533138275,0.27855937994979385,0.0,0.0,0.0010903426791277258,False,False,False
narrow,ambulance off stretcher times,7,1000,Fuzzy Extent Area - NSW Physiography Category - GDA2020 Service,Spatial Services (DCS),"Export Data Access API NEW We have released a new GDA2020 version of this dataset which replaces the current GDA94 version. This updated service aligns our spatial data with the national standard, improving accuracy, consistency, and…",https://data.nsw.gov.au/data/dataset/1-6f12719137874488ae8fd5dd80fa559d,0.14259138703346252,0.24733838083067622,0.0,0.0,0.0007769145394006659,False,False,False
narrow,koala habitat corridors,5,1,Koala corridors in south-west Sydney,"NSW Department of Climate Change, Energy, the Environment and Water","Map of koala movement corridors and priority restoration areas in a study area in south-western Sydney. Koala movement corridors are classified as primary, secondary and tertiary according to the level of connectivity of core koala habitat…",https://data.nsw.gov.au/data/dataset/koala-corridors-in-south-west-sydney,0.7693201303482056,1.0,0.19875474274158478,0.6675746202620848,0.015887174541947928,True,True,True
narrow,koala habitat corridors,5,5,Repealed - State Environmental Planning Policy (Koala Habitat Protection) 2019,"NSW Department of Planning, Housing and Infrastructure",This is a repealed State Environmental Planning Policy and has been superseded by the State Environmental Planning Policy (Koala Habitat Protection) 2020. This dataset contains map data relevant to Site Investigation Area for Koala Plans of…,https://data.nsw.gov.au/data/dataset/state-environmental-planning-policy-koala-habitat-protection-2019,0.6720480918884277,0.8735610383472598,0.19246630370616913,0.6464531001252446,0.015054945054945056,True,True,True
narrow,koala habitat corridors,5,10,Data - Draft report: koala survey of the Mid North Coast Assessment Area,"NSW Department of Climate Change, Energy, the Environment and Water","The asset includes the observational data collected by the Koala Science team, drone surveys between April and July 2024 within the Mid North Coast Assessment Area and adjoining national park estate referred to as the Study Area. This…",https://data.nsw.gov.au/data/dataset/koala-data-draft-report-koala-survey-of-the-assessment-area,0.6340382099151611,0.8241539313785877,0.1975385993719101,0.6634898551037993,0.013681159420289853,True,True,True
narrow,koala habitat corridors,5,20,Priority Populations for the NSW Koala Strategy 2021-26,"NSW Department of Climate Change, Energy, the Environment and Water","The NSW Koala Strategy identifies 50 koala populations in New South Wales based on the Areas of Regional Koala Significance (ARKS) identified by the NSW Government (DPIE 2020), noting that koalas are also found outside these areas. These 50…",https://data.nsw.gov.au/data/dataset/priority-populations-for-the-nsw-koala-strategy,0.6179465055465698,0.8032371455909755,0.10856828838586807,0.36465763227564074,0.012269850402761793,True,True,True
narrow,koala habitat corridors,5,30,Koala Sightings – BioNet,"NSW Department of Climate Change, Energy, the Environment and Water","Koala (Phascolarctos cinereus) species sightings in NSW. Sightings are derived from the BioNet Species Sightings oData Web service, via an ETL process which generates geometries for use in the spatial web services listed below. Records are…",https://data.nsw.gov.au/data/dataset/nsw-bionet-data-collection-koala-sightings,0.5687786340713501,0.7393263371568252,0.11620700359344482,0.39031444093161516,0.010906124497991967,True,True,True
narrow,koala habitat corridors,5,40,Koala Management Plan for Koala Beach Residential Development. Amendment No. 1 (SJJT03082701 - SJJT0308270J) (June. 1996).,"NSW Department of Climate Change, Energy, the Environment and Water",Koala Management Plan for Koala Beach Residential Development. Amendment No. 1 (SJJT03082701 - SJJT0308270J) (June. 1996).,https://data.nsw.gov.au/data/dataset/fis_00518,0.5518895983695984,0.7173731410353257,0.0638645589351654,0.21450737774232917,0.009751552795031055,True,True,True
narrow,koala habitat corridors,5,50,Fauna Corridors for North East NSW,"NSW Department of Climate Change, Energy, the Environment and Water","Layer of regional and subregional linking corridors for fauna of the Upper North East (UNE) and Lower North East (LNE) NSW RFA regions. A new GIS program, NPWS CORRIDORS, was used to derive potential landscape linkages (habitat corridors)…",https://data.nsw.gov.au/data/dataset/fauna-corridors-for-north-east-nsw,0.4539729356765747,0.5900962652193956,0.09026959538459778,0.30319624089894265,0.008912655971479501,True,True,True
narrow,koala habitat corridors,5,75,Improving anti-chlamydial responses in NSW koalas with a Chlamydia-koala retrovirus combination vaccine,The University of the Sunshine Coast,"Improving anti-chlamydial responses in NSW koalas with a Chlamydia-koala retrovirus combination vaccine. Koalas are an endangered species under threat of extinction from several factors, including infections agents. Chlamydia pecorum…",https://data.nsw.gov.au/data/dataset/improving-anti-chlamydial-responses-in-nsw-koalas,0.4007260203361511,0.5208833157073073,0.03674456477165222,0.12341712472252385,0.006771939136588818,True,True,True
